date	localtime	station	Zone	zoneletter	zonenumber	collab_siteID	collaborator	FL_Region	FL_region_zone	sitecategory	Habitat	depth	depth_m	lat	long	Dist_shore	SCTLD	pro	syn	peuk	hbact	npoc	tn	po4	nh4	silicate	no2	no3	no2no3	temp	dissolvedO2_percent	dissolvedO2	salinity	Metagenomes	Microbiomes	CoralTissue	MicrobiomeANDTissue	Calcified_Macroalgae	Crustose_Coralline_Algae	Cyanobacteria	Fleshy_Macroalgae	Hard_coral	Invertebrates	Non_biological	Other	Other_invertebrates	Seagrass	Soft_coral	Sponge	Turf_Algae	BenthicSurvey	AvgChl	AvgPhaeo
6/6/19	16:40:00	FLA_011	8	I	Zone 8	Bird Key Reef	FWC CREMP	Dry Tortugas NP	Zone 8 - Dry Tortugas NP	Dry Tortugas	Forereef	42	12.8	24.61177	-82.87029	1.71	0	19448	138333	956	263953	70.53	5.23	0.21	0.42	0.6	0.03	0.27	0.3	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/7/19	11:40:00	FLA_012	8	I	Zone 8	DT_NPS_SV02	DT_NPS	Dry Tortugas NP	Zone 8 - Dry Tortugas NP	Dry Tortugas	Forereef	56	17.1	24.723242	-82.822363	8.93	0	21952	79172	1013	314972	82.37	1.3	0.21	0.2	0.7	0.04	0.26	0.3	28.583	NA	NA	P	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/7/19	12:30:00	FLA_013	8	I	Zone 8	DT_NPS_SV01	DT_NPS	Dry Tortugas NP	Zone 8 - Dry Tortugas NP	Dry Tortugas	Forereef	63	19.2	24.724568	-82.815068	9.35	0	25566	79397	1223	322059	70.89	4.99	0.22	0.11	0.4	0.09	0.41	0.5	28.455	99.9	6.27	P	TRUE	TRUE	FALSE	TRUE	0.88	0.28	0	57.42	11.47	0	0.04	0	0.2	0	1	0.44	28.27	TRUE	0.218895199	0.056317101
6/7/19	15:11:00	FLA_014	8	I	Zone 8	CRCP_2160	CRCP	Dry Tortugas NP	Zone 8 - Dry Tortugas NP	Dry Tortugas	Forereef	40	12.2	24.72115	-82.80756	9.33	0	24483	83686	1463	317081	69.41	4.94	0.2	0.09	0.7	0.03	0.17	0.2	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/7/19	14:58:00	FLA_015	8	I	Zone 8	DT_NPS_SV03	DT_NPS	Dry Tortugas NP	Zone 8 - Dry Tortugas NP	Dry Tortugas	Forereef	59	18	24.722388	-82.828323	8.67	0	15033	96750	1505	260269	70.17	6.77	0.24	0.43	1	0.07	0.73	0.8	28.697	100.6	6.28	P	FALSE	TRUE	FALSE	TRUE	1.57	2.73	0	55.23	21.3	0	0.24	0	0.52	0	2.97	0.84	14.59	TRUE	0.263992661	0.074249693
6/7/19	18:40:00	FLA_016	8	I	Zone 8	CRCP_2254	CRCP	Dry Tortugas NP	Zone 8 - Dry Tortugas NP	Dry Tortugas	Forereef	39	11.9	24.64216	-82.856	0.686	0	8536	175838	661	334898	84.61	1.33	0.18	0.17	0.5	0.05	0.15	0.2	29.67	NA	NA	P	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/7/19	18:53:00	FLA_017	8	I	Zone 8	CRCP_2236	CRCP	Dry Tortugas NP	Zone 8 - Dry Tortugas NP	Dry Tortugas	Forereef	33	10.1	24.65708	-82.8684	1.85	0	10800	179677	464	302006	71.54	3.91	0.2	0.1	0.2	0.06	0.24	0.3	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/8/19	12:39:00	FLA_018	7	G	Zone 7	East Dry Rocks	E_Muller	Marquesas	Zone 7 - Marquesas	FK Reef Tract	Forereef	22	6.7	24.45916	-81.84403	9.62	2.12	64716	14147	422	318234	79.18	3.2	0.18	0.19	0.3	0.02	BD	0	29.16	102.6	6.37	P	TRUE	TRUE	FALSE	TRUE	0.92	0.84	0.12	32.77	2.32	0	0.36	0.08	2.8	0	8.53	0.88	50.36	TRUE	0.106921648	0.038408976
6/8/19	11:40:00	FLA_019	7	G	Zone 7	CRCP_1451	CRCP	Marquesas	Zone 7 - Marquesas	FK Reef Tract	Forereef	44	13.4	24.4458	-81.91766	8.98	0.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.407	97.7	6.13	P	FALSE	TRUE	TRUE	TRUE	0.12	0	0	23.82	3.21	0	0	0.08	0	0	6.22	2.77	63.78	TRUE	0.09805102	0.037352166
6/8/19	13:54:00	FLA_020	7	G	Zone 7	East Dry Rocks	Les_BU	Marquesas	Zone 7 - Marquesas	FK Reef Tract	Forereef	23	7	24.45917	-81.84457	9.66	7.14	55702	15356	436	300459	83.13	3.75	0.19	1.26	0.3	0.05	0.05	0.1	29.126	NA	NA	P	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/8/19	13:49:00	FLA_021	7	G	Zone 7	CRCP_1391	CRCP	Marquesas	Zone 7 - Marquesas	FK Reef Tract	Forereef	40	12.2	24.45097	-81.94603	8.05	0	53128	12150	478	263967	80.18	4.09	0.2	0.12	0.2	0.06	0.34	0.4	28.701	98.8	6.17	P	FALSE	TRUE	TRUE	TRUE	0.85	2.02	0.04	21.02	7.26	0	0	0	0.04	0	9.6	3.57	55.59	TRUE	0.089323071	0.033062572
6/8/19	17:18:00	FLA_022	7	G	Zone 7	Rock Key Shallow	FWC CREMP	Marquesas	Zone 7 - Marquesas	FK Reef Tract	Forereef	21	6.4	24.45442	-81.85897	9.66	0.78	54661	13725	619	286256	77.65	1.65	0.22	0.62	0.9	0.05	0.15	0.2	29.556	NA	NA	P	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/8/19	18:00:00	FLA_023	7	G	Zone 7	CRCP_1422	CRCP	Marquesas	Zone 7 - Marquesas	FK Reef Tract	Forereef	24	7.3	24.45193	-81.87976	9.41	8.33	49852	12263	408	277102	77.7	1.02	0.19	0.27	0.1	0.02	0.08	0.1	29.164	105.1	6.52	P	FALSE	FALSE	TRUE	TRUE	1.99	1.42	0	36.46	2.76	0	0.33	0.12	3.74	0	7.2	2.4	43.58	TRUE	NA	NA
6/8/19	18:54:00	FLA_024	7	G	Zone 7	Sand Key Shallow	FWC CREMP	Marquesas	Zone 7 - Marquesas	FK Reef Tract	Forereef	26	7.9	24.45184	-81.87755	9.5	8.38	34552	7636	394	202711	75.06	1.12	0.18	0.15	0.1	0.05	0.45	0.5	29.075	NA	NA	P	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/9/19	11:30:00	FLA_025	6	F	Zone 6	Cliff Green	FWC CREMP	Lower Keys	Zone 6 - Lower Keys	FK Reef Tract	Forereef	25	7.6	24.5036	-81.7677	5.26	4.83	65981	24328	492	341986	77.87	3.71	0.17	0	0.1	0.03	0.17	0.2	NA	NA	NA	NA	FALSE	TRUE	TRUE	TRUE	0.08	0.32	0	0.08	14.36	0	0.04	0	0	0	23.35	9.03	52.75	TRUE	0.192726965	0.065301189
6/9/19	14:43:00	FLA_026	6	F	Zone 6	Red Dun Reef	FWC CREMP	Lower Keys	Zone 6 - Lower Keys	FK Reef Tract	Forereef	33	10.1	24.52094	-81.6621	4.81	2.21	54717	19561	717	306773	93.05	3.22	0.18	0.14	0.9	0.04	0.16	0.2	29.428	NA	NA	P	FALSE	FALSE	FALSE	FALSE	0	0.12	0.04	0.8	13.94	0	2.57	0	0.04	0	20.29	5.5	56.69	TRUE	NA	NA
6/9/19	14:06:00	FLA_027	6	F	Zone 6	CRCP_1384	CRCP	Lower Keys	Zone 6 - Lower Keys	FK Reef Tract	Forereef	26	7.9	24.5014	-81.679	6.44	4.84	100969	24666	633	336319	80.62	3.33	0.19	0.11	0.7	0.02	0.08	0.1	28.913	99.6	6.19	P	TRUE	TRUE	TRUE	TRUE	0.28	0.04	0.12	0.84	8.34	0.04	0.12	0	0.32	0	10.38	8.42	71.1	TRUE	0.266340632	0.099130396
6/9/19	18:24:00	FLA_028	6	F	Zone 6	CRCP_1368	CRCP	Lower Keys	Zone 6 - Lower Keys	FK Reef Tract	Forereef	21	6.4	24.54468	-81.56519	5.99	10	52622	104625	563	362686	82.08	3.55	0.21	0.08	1.1	0.07	0.13	0.2	29.836	NA	NA	P	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/9/19	17:48:00	FLA_029	6	F	Zone 6	new site	new site	Lower Keys	Zone 6 - Lower Keys	FK Reef Tract	Forereef	22	6.7	24.52554	-81.55135	8.53	7.14	51975	22725	422	293288	76.69	5.64	0.18	0.18	0.8	0.01	0.09	0.1	29.012	103.4	6.43	P	FALSE	FALSE	TRUE	TRUE	0.13	0	0	13.73	2.09	0	0	0	6.01	0	9.56	5.93	62.56	TRUE	NA	NA
6/10/19	11:30:00	FLA_030	5	E	Zone 5	CRCP_1371	CRCP	Lower Keys	Zone 5 - Lower Keys	FK Reef Tract	Forereef	30	9.1	24.57044	-81.45758	4.38	22.03	70003	149048	872	494719	78.11	1.32	0.18	0.08	1	0.04	BD	0	29.783	NA	NA	P	FALSE	FALSE	FALSE	FALSE	8.19	0.12	0.04	0.2	4.66	0	0	0.04	0	0	1.28	1.45	84.02	TRUE	NA	NA
6/10/19	12:41:00	FLA_031	5	E	Zone 5	Wonderland	FWC CREMP	Lower Keys	Zone 5 - Lower Keys	FK Reef Tract	Forereef	26	7.9	24.56036	-81.50213	6.31	35.28	46913	115327	619	602184	87.9	5.69	0.19	0.03	1.4	0.05	0.15	0.2	29.704	99.1	6.08	P	FALSE	TRUE	TRUE	TRUE	0.54	0.66	0	2.67	39.86	0	7.53	0.04	0.19	0	3.05	3.13	42.33	TRUE	0.306656586	0.084187847
6/10/19	14:08:00	FLA_032	5	E	Zone 5	Looe Key Shallow	FWC CREMP	Lower Keys	Zone 5 - Lower Keys	FK Reef Tract	Forereef	26	7.9	24.54517	-81.40776	8.56	27.03	74559	18773	605	307702	84.13	3.17	0.19	0.58	8.6	0.04	0.06	0.1	28.975	NA	NA	P	FALSE	FALSE	FALSE	FALSE	0.12	1.16	0.2	13.43	12.1	0	5.33	0.16	4.81	0	8.06	1.08	53.55	TRUE	NA	NA
6/10/19	14:59:00	FLA_033	5	E	Zone 5	N.Birthday	E_Muller	Lower Keys	Zone 5 - Lower Keys	FK Reef Tract	Forereef	28	8.5	24.58477	-81.49695	3.78	18.98	80353	153759	1083	518091	76.8	3.39	0.2	0.37	1.7	0.03	BD	0	29.867	95.6	5.85	P	TRUE	TRUE	TRUE	TRUE	15.18	0.04	0	0.41	20.38	0	0	0.21	0.04	0	0.04	1.77	61.92	TRUE	0.330714727	0.117095602
6/10/19	16:14:00	FLA_034	5	E	Zone 5	Looe_Coral_Rest	CRF	Lower Keys	Zone 5 - Lower Keys	FK Reef Tract	Forereef	22	6.7	24.554611	-81.40491	7.47	21.17	46913	11419	366	206648	73.17	4.28	0.2	0.29	0.7	0.05	0.45	0.5	29.067	NA	NA	P	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/10/19	18:16:00	FLA_035	5	E	Zone 5	Newfound Harbor	Les_BU	Lower Keys	Zone 5 - Lower Keys	FK Reef Tract	Forereef	10	3	24.61461	-81.3933	0.74	4.82	14583	115425	1027	667463	130.21	7.36	0.21	0.43	2.7	0.07	0.33	0.4	32.059	109.2	6.42	P	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/11/19	11:26:00	FLA_036	4	D	Zone 4	Coffins_Coral_Rest	CRF	Middle Keys	Zone 4 - Middle Keys	FK Reef Tract	Forereef	12	3.7	24.68564	-80.96375	6.02	5.91	37041	110039	1688	509288	91.64	3.01	0.21	0.16	2.3	0.03	0.17	0.2	30.464	NA	NA	P	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/11/19	12:41:00	FLA_037	4	D	Zone 4	West Turtle Shoal	FWC CREMP	Middle Keys	Zone 4 - Middle Keys	FK Reef Tract	Forereef	24	7.3	24.6993	-80.96684	4.59	1.73	30994	101025	1280	475270	98.41	4.49	0.17	0.58	1.6	0.01	0.19	0.2	30.389	101.8	6.17	P	FALSE	TRUE	TRUE	TRUE	1.64	1.64	0.92	5.69	14.42	0	0.68	0	1.4	0	19.18	14.1	40.33	TRUE	0.258909956	0.098311133
6/11/19	13:49:00	FLA_038	4	D	Zone 4	Dustan Rocks	FWC CREMP	Middle Keys	Zone 4 - Middle Keys	FK Reef Tract	Forereef	16	4.9	24.68953	-81.03023	2.98	15.85	3895	102431	998	547523	137.75	6.97	0.22	0.41	3.9	0.03	0.27	0.3	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/11/19	15:08:00	FLA_039	4	D	Zone 4	Thor	FWC CREMP	Middle Keys	Zone 4 - Middle Keys	FK Reef Tract	Forereef	21	6.4	24.67155	-81.05062	3.33	11.75	17114	118167	1308	567380	114.15	4.05	0.2	0.19	3.4	0.05	0.05	0.1	31.016	99	5.93	P	TRUE	TRUE	TRUE	TRUE	0.04	0	0	2.41	16.27	0	0	0	5.42	0	12.54	5.99	57.33	TRUE	0.448818328	0.160530722
6/11/19	17:14:00	FLA_040	4	D	Zone 4	Sombrero	E_Muller	Middle Keys	Zone 4 - Middle Keys	FK Reef Tract	Forereef	25	7.6	24.62539	-81.11153	6.95	17.48	56011	89255	1223	463050	75.4	0.91	0.17	0.33	0.5	0.03	0.07	0.1	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	1.36	2.49	0	25.42	1.52	0	1.28	0	13.03	0	14.64	2.25	38.01	TRUE	NA	NA
6/11/19	18:21:00	FLA_041	4	D	Zone 4	Washerwoman	E_Muller	Middle Keys	Zone 4 - Middle Keys	FK Reef Tract	Forereef	20	6.1	24.66427	-81.07394	2.8	2.39	6567	116592	1041	538847	130.77	10.26	0.21	0.35	3.6	0.04	0.26	0.3	31.242	101.7	6.07	P	FALSE	FALSE	FALSE	FALSE	1.81	0.24	0.08	5.58	14.88	0	0.32	0	0.6	0	16.61	12.92	46.97	TRUE	NA	NA
6/11/19	18:46:00	FLA_042	4	D	Zone 4	Sombrero	E_Muller	Middle Keys	Zone 4 - Middle Keys	FK Reef Tract	Forereef	22	6.7	24.62536	-81.1114	6.95	16.41	52116	96652	1153	438961	85.4	3.27	0.2	0.23	1	0.03	0.17	0.2	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/13/19	9:00:00	FLA_043	3	C	Zone 3	CRCP_1247	CRCP	Upper Keys	Zone 3 - Upper Keys	FK Reef Tract	Forereef	14	4.3	24.94652	-80.55198	1.8	0	9506	57530	773	658153	103.21	3.38	0.2	0.72	0	0.05	0.15	0.2	31.351	91.5	5.45	P	FALSE	TRUE	FALSE	TRUE	5.77	0.52	1.32	4.69	4.65	0	0.12	0	0	0	0.72	0.12	82.08	TRUE	0.185503361	0.111070989
6/13/19	8:30:00	FLA_044	3	C	Zone 3	CRCP_1256	CRCP	Upper Keys	Zone 3 - Upper Keys	FK Reef Tract	Forereef	14	4.3	24.93758	-80.54758	2.82	2.56	5344	50906	759	530733	101.96	4.95	0.19	0.37	0.9	0.04	0.46	0.5	31.376	NA	NA	P	FALSE	FALSE	FALSE	FALSE	2.13	0	0.08	18.3	11.52	0	0	0	0.08	0	12.44	1.32	54.13	TRUE	NA	NA
6/13/19	11:00:00	FLA_045	3	C	Zone 3	Cheeca Rocks _CRT1	A_Gleason	Upper Keys	Zone 3 - Upper Keys	FK Reef Tract	Forereef	11	3.4	24.8977	-80.617	2.51	7.78	8789	47602	647	583664	127.96	5.63	0.23	0.22	1.3	0.05	0.45	0.5	31.664	91.8	5.42	P	TRUE	TRUE	TRUE	TRUE	7.06	1.98	0.56	15.65	30.44	0	2.5	0	0.4	0	4.88	0.93	35.6	TRUE	0.36897364	0.129653217
6/13/19	11:15:00	FLA_046	3	C	Zone 3	CRCP_1257	CRCP	Upper Keys	Zone 3 - Upper Keys	FK Reef Tract	Forereef	13	4	24.90055	-80.61724	2.29	7.56	10420	38841	745	527175	144.67	8.59	0.23	0.48	0.6	0.04	0.56	0.6	32.109	NA	NA	P	FALSE	FALSE	FALSE	FALSE	23.91	1.85	0.84	9.47	30.37	0	0.96	0	0	0	1.97	0.64	30	TRUE	NA	NA
6/13/19	14:30:00	FLA_047	4	C	Zone 4	Tennessee Shallow	FWC CREMP	Middle Keys	Zone 4 - Middle Keys	FK Reef Tract	Forereef	22	6.7	24.745	-80.7817	7.56	0	74770	58613	1744	378197	79.26	1	0.23	0.51	1	0.03	0.07	0.1	28.97	104	6.47	P	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/13/19	14:40:00	FLA_048	4	C	Zone 4	Tennessee Deep	FWC CREMP	Middle Keys	Zone 4 - Middle Keys	FK Reef Tract	Forereef	46	14	24.7526	-80.75775	7.6	4.82	52073	48769	1252	366455	82.94	1.66	0.17	0.22	0.4	0.01	0.19	0.2	29.402	NA	NA	P	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/14/19	9:54:00	FLA_049	2	B	Zone 2	Grecian_GR2	A_Gleason	Upper Keys	Zone 2 - Upper Keys	FK Reef Tract	Forereef	22	6.7	25.11012	-80.30382	7.45	0.53	35508	66375	1828	429497	87.82	5.32	0.19	0.36	0.1	0.01	0.49	0.5	28.716	88	5.49	P	FALSE	TRUE	FALSE	TRUE	0	0	0.12	67.55	3.04	0	0	0.12	0.52	0	10.92	0.84	16.89	TRUE	0.312293769	0.139338128
6/14/19	9:02:00	FLA_050	2	B	Zone 2	Horseshoe Reef	Les_BU	Upper Keys	Zone 2 - Upper Keys	FK Reef Tract	Forereef	15	4.6	25.13994	-80.29436	6.45	0	20686	88003	1673	481486	84.19	3.82	0.18	0.29	0	0.03	0.27	0.3	29.694	NA	NA	P	FALSE	FALSE	FALSE	FALSE	4.81	9.82	0.04	2.04	9.61	0	0	0.12	0.24	0	3.3	2.36	67.66	TRUE	NA	NA
6/14/19	11:30:00	FLA_051	2	B	Zone 2	Two Patches	FWC CREMP	Upper Keys	Zone 2 - Upper Keys	FK Reef Tract	Forereef	9	2.7	25.02194	-80.4389	5.31	1.88	40627	53634	1013	451955	95.46	4.51	0.17	0.28	0.6	0.01	0.19	0.2	29.585	95	5.84	P	TRUE	TRUE	FALSE	TRUE	1.41	0.12	0.16	11.05	3.55	0	5.66	0.16	0.12	0	29.02	1.88	46.88	TRUE	0.215783967	0.092229267
6/14/19	10:56:00	FLA_052	2	B	Zone 2	North Dry Rocks_Coral_Rest	CRF	Upper Keys	Zone 2 - Upper Keys	FK Reef Tract	Forereef	17	5.2	25.12948	-80.29414	6.98	0	19870	85781	1294	417727	84.21	1.71	0.23	0.32	0.8	0.06	0.24	0.3	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	0.8	0.52	0.56	26.69	0.64	0	15.91	0.2	0.2	0	4.73	1.56	48.18	TRUE	NA	NA
6/14/19	13:30:00	FLA_053	2	B	Zone 2	Marker 39	FWC	Upper Keys	Zone 2 - Upper Keys	FK Reef Tract	Forereef	10	3	25.0091	-80.4584	3.89	0	57347	36548	745	322144	84.32	4.24	0.17	0.4	0.1	0.02	0.08	0.1	29.634	104.8	6.44	P	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/14/19	14:51:00	FLA_054	2	B	Zone 2	Pickles_Coral_Rest	CRF	Upper Keys	Zone 2 - Upper Keys	FK Reef Tract	Forereef	13	4	24.98572	-80.41599	8.88	0.87	56897	36394	872	394608	90.83	4.33	0.18	0.2	1.5	0.03	0.17	0.2	29.325	NA	NA	P	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/14/19	15:15:00	FLA_055	2	B	Zone 2	Burr Fish	FWC CREMP	Upper Keys	Zone 2 - Upper Keys	FK Reef Tract	Forereef	17	5.2	24.99923	-80.46692	3.89	1.54	34327	63492	1308	399192	88.83	5.05	0.2	1.02	0.3	0.01	0.19	0.2	29.744	105.7	6.48	P	FALSE	FALSE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA
6/14/19	16:27:00	FLA_056	2	B	Zone 2	Molasses Shallow	FWC CREMP	Upper Keys	Zone 2 - Upper Keys	FK Reef Tract	Forereef	23	7	25.0088	-80.37646	10.11	0.43	61059	35986	1055	409036	87.84	3.03	0.17	0.2	1.1	0.01	0.09	0.1	29.879	NA	NA	P	FALSE	FALSE	FALSE	FALSE	2.78	7.88	0.36	12.71	8.37	0	1.45	0	5.59	0	15.25	1.77	43.85	TRUE	NA	NA
6/15/19	8:38:00	FLA_057	6	F	Zone 6	CRCP_1350	CRCP	Lower Keys	Zone 6 - Lower Keys	FK Reef Tract	Forereef	15	4.6	24.57686	-81.61335	0.97	1.05	12459	23752	1547	930150	108.27	5.67	0.21	0.58	1.2	0.07	0.73	0.8	30.844	89.1	5.36	P	FALSE	TRUE	FALSE	TRUE	2.81	0.96	0.4	4.81	43.73	0	4.49	0	0	0	1.24	4.49	37.07	TRUE	0.16317026	0.130202236
